"Name"	"DrugBankID"	"PubChemCompoundID"	"WikipediaID"	"DrugscomLink"	"ChemSpiderID"	"MeshID"	"idterm_descritor"	"term_type_idterm_type"	"term_type_mesh"	"tree"
"1"	"Phenols"	"DB03255"	""	NA	NA	NA	"D010636"	1	7	3	"D02.455.426.559.389.657"
"2"	"Aminophenols"	""	""	NA	NA	NA	"D000627"	2	7	3	"D02.092.146.100,D02.455.426.559.389.657.050"
"3"	"Bisphenol A-Glycidyl Methacrylate"	""	"15284"	NA	NA	NA	"D017438"	3	7	3	"D02.241.081.069.600.150,D02.455.426.559.389.657.100,D05.750.716.822.308.200,D25.339.816.500.200,D25.720.716.822.308.200,J01.637.051.339.816.500.200,J01.637.051.720.716.822.308.200"
"4"	"Bithionol"	"DB04813"	""	NA	NA	NA	"D001735"	4	7	3	"D02.455.426.559.389.657.120"
"5"	"Bromphenol Blue"	""	"8272"	NA	NA	NA	"D001978"	5	7	3	"D02.455.426.559.389.657.150,D02.455.426.559.389.832.180,D02.886.590.887.180"
"6"	"Catechols"	"DB02232"	""	NA	NA	NA	"D002396"	6	7	3	"D02.455.426.559.389.657.166"
"7"	"Capsaicin"	"DB06774"	""	NA	NA	NA	"D002211"	7	7	3	"D02.065.160.500,D02.455.326.271.060.222,D02.455.426.559.389.657.166.099,D03.132.760.200,D10.251.355.325.190"
"8"	"Curcumin"	"DB11672"	""	NA	NA	NA	"D003474"	8	7	3	"D02.455.326.146.485.222.222,D02.455.426.559.389.657.166.200,D02.455.426.559.694.222"
"9"	"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt"	""	"9001"	NA	NA	NA	"D014013"	9	7	3	"D02.455.426.559.389.097.175,D02.455.426.559.389.657.166.210,D02.886.645.600.080.050.100.150"
"10"	"Estrogens, Catechol"	""	""	NA	NA	NA	"D002393"	10	7	3	"D02.455.426.559.389.657.166.350,D06.472.334.851.437.984"
"11"	"Hydroxyestrones"	""	""	NA	NA	NA	"D006894"	11	7	3	"D02.455.426.559.389.657.166.350.350,D04.210.500.365.415.414.400,D04.210.500.578.502.497.400,D06.472.334.851.437.984.350"
"12"	"Guaiacol"	"DB11359"	""	NA	NA	NA	"D006139"	12	7	3	"D02.355.601.536,D02.355.726.453,D02.455.426.559.389.657.166.453,D02.455.426.559.389.657.654.453"
"13"	"Guaifenesin"	"DB00874"	""	NA	NA	NA	"D006140"	13	7	3	"D02.355.601.536.400,D02.355.726.453.400,D02.455.426.559.389.657.166.453.400,D02.455.426.559.389.657.654.453.400"
"14"	"3-Methoxy-4-hydroxyphenylethanol"	""	"16928"	NA	NA	NA	"D015098"	14	7	3	"D02.455.426.559.389.657.166.500"
"15"	"Masoprocol"	"DB00179"	""	NA	NA	NA	"D009637"	15	7	3	"D02.455.426.559.389.140.450.582,D02.455.426.559.389.657.166.550"
"16"	"Chlorophenols"	""	""	NA	NA	NA	"D002733"	16	7	3	"D02.455.426.559.389.261.190,D02.455.426.559.389.657.190"
"17"	"Dichlorophen"	""	"3037"	NA	NA	NA	"D004003"	17	7	3	"D02.455.426.559.389.657.190.270"
"18"	"Hexachlorophene"	"DB00756"	""	NA	NA	NA	"D006582"	18	7	3	"D02.455.426.559.389.261.190.350,D02.455.426.559.389.657.190.350"
"19"	"Pentachlorophenol"	""	"992"	NA	NA	NA	"D010416"	19	7	3	"D02.455.426.559.389.657.190.633"
"20"	"Cresols"	"DB11143"	"24693"	NA	NA	NA	"D003408"	20	7	3	"D02.455.426.559.389.657.239"
"21"	"Bisacodyl"	"DB09020"	""	NA	NA	NA	"D001726"	21	7	3	"D02.455.426.559.389.657.239.132"
"22"	"Brocresine"	""	"11151"	NA	NA	NA	"D001958"	22	7	3	"D02.455.426.559.389.657.239.180"
"23"	"Bromcresol Green"	""	"6451"	NA	NA	NA	"D001961"	23	7	3	"D02.455.426.559.389.657.239.190,D02.455.426.559.389.832.140,D02.886.590.887.140"
"24"	"Bromcresol Purple"	""	"8273"	NA	NA	NA	"D001962"	24	7	3	"D02.455.426.559.389.657.239.195,D02.455.426.559.389.832.150,D02.886.590.887.150"
"25"	"Butylated Hydroxytoluene"	""	""	NA	NA	NA	"D002084"	25	7	3	"D02.455.426.559.389.657.239.216"
"26"	"Creosote"	""	""	NA	NA	NA	"D003407"	26	7	3	"D02.455.426.559.389.657.239.327"
"27"	"Cyclofenil"	""	"2898"	NA	NA	NA	"D003506"	27	7	3	"D02.455.426.559.389.657.239.402"
"28"	"Dinitrocresols"	""	""	NA	NA	NA	"D004138"	28	7	3	"D02.455.426.559.389.657.239.493,D02.640.280"
"29"	"Formocresols"	""	""	NA	NA	NA	"D005566"	29	7	3	"D02.047.407.518,D02.455.426.559.389.657.239.611"
"30"	"Tolterodine Tartrate"	"DB01036"	""	NA	NA	NA	"D000068737"	30	7	3	"D02.033.100.624.706.750,D02.033.755.624.706.750,D02.092.063.624.706.800,D02.455.426.559.389.115.900,D02.455.426.559.389.657.239.756"
"31"	"Tritolyl Phosphates"	""	""	NA	NA	NA	"D014317"	31	7	3	"D02.455.426.559.389.657.239.900,D02.705.400.875"
"32"	"Desvenlafaxine Succinate"	"DB06700"	""	NA	NA	NA	"D000069468"	32	7	3	"D02.033.415.510.500.303,D02.455.426.392.368.367.318.500,D02.455.426.559.389.657.265,D10.289.510.500.303"
"33"	"Dienestrol"	"DB00890"	""	NA	NA	NA	"D004028"	33	7	3	"D02.455.426.559.389.657.290"
"34"	"Humic Substances"	""	""	NA	NA	NA	"D006812"	34	7	3	"D02.241.444,D02.455.426.559.389.657.377,D20.721.500"
"35"	"Hydroquinones"	"DB09526"	""	NA	NA	NA	"D006873"	35	7	3	"D02.455.426.559.389.657.393"
"36"	"Hydroxybenzoates"	""	""	NA	NA	NA	"D062385"	36	7	3	"D02.241.223.100.300,D02.241.511.390,D02.455.426.559.389.127.281,D02.455.426.559.389.657.410"
"37"	"Depsides"	""	""	NA	NA	NA	"D053630"	37	7	3	"D02.241.223.100.300.100,D02.241.511.390.100,D02.455.426.559.389.127.281.100,D02.455.426.559.389.657.410.100"
"38"	"Gallic Acid"	""	"370"	NA	NA	NA	"D005707"	38	7	3	"D02.241.223.100.300.200,D02.241.511.390.200,D02.455.426.559.389.127.281.200,D02.455.426.559.389.657.410.200"
"39"	"Hydrolyzable Tannins"	""	""	NA	NA	NA	"D047348"	39	7	3	"D02.241.223.100.300.200.299,D02.241.511.390.200.299,D02.455.426.559.389.127.281.200.299,D02.455.426.559.389.657.410.200.299,D05.750.078.937.214"
"40"	"Propyl Gallate"	"DB12450"	""	NA	NA	NA	"D011435"	40	7	3	"D02.241.223.100.300.200.600,D02.241.511.390.200.600,D02.455.426.559.389.127.281.200.600,D02.455.426.559.389.657.410.200.600"
"41"	"Hydroxymercuribenzoates"	""	""	NA	NA	NA	"D006902"	41	7	3	"D02.241.223.100.300.400,D02.241.223.100.500.450,D02.241.511.390.400,D02.455.426.559.389.127.281.400,D02.455.426.559.389.127.500.450,D02.455.426.559.389.657.410.400,D02.691.750.740.644.450"
"42"	"Pactamycin"	""	"5289124"	NA	NA	NA	"D010142"	42	7	3	"D02.241.223.100.300.450,D02.241.511.390.450,D02.455.426.559.389.127.281.450,D02.455.426.559.389.657.410.450"
"43"	"Parabens"	""	""	NA	NA	NA	"D010226"	43	7	3	"D02.241.223.100.300.460,D02.241.511.390.460,D02.455.426.559.389.127.281.460,D02.455.426.559.389.657.410.460"
"44"	"Salicylates"	""	""	NA	NA	NA	"D012459"	44	7	3	"D02.241.223.100.300.595,D02.241.511.390.595,D02.455.426.559.389.127.281.595,D02.455.426.559.389.657.410.595"
"45"	"Aminosalicylic Acid"	"DB00233"	""	NA	NA	NA	"D010131"	46	7	3	"D02.241.223.100.050.500.642,D02.241.223.100.300.595.100.060,D02.241.511.390.595.100.060,D02.455.426.559.389.127.020.937.642,D02.455.426.559.389.127.281.595.100.060,D02.455.426.559.389.657.410.595.100.060"
"46"	"Mesalamine"	"DB00244"	""	NA	NA	NA	"D019804"	47	7	3	"D02.241.223.100.050.300.500,D02.241.223.100.300.595.100.540,D02.241.511.390.595.100.540,D02.455.426.559.389.127.020.452.750,D02.455.426.559.389.127.281.595.100.540,D02.455.426.559.389.657.410.595.100.540"
"47"	"Anacardic Acids"	""	"167551"	NA	NA	NA	"D048729"	48	7	3	"D02.455.426.559.389.657.410.595.151"
"48"	"Aspirin"	"DB00945"	""	NA	NA	NA	"D001241"	49	7	3	"D02.455.426.559.389.657.410.595.176"
"49"	"Aspirin, Dipyridamole Drug Combination"	""	"137329"	NA	NA	NA	"D000068342"	50	7	3	"D02.455.426.559.389.657.410.595.176.500,D03.383.742.175.500,D26.310.125"
"50"	"Dicamba"	""	"3030"	NA	NA	NA	"D003996"	51	7	3	"D02.241.223.100.200.500,D02.241.223.100.300.595.202,D02.241.511.390.595.202,D02.455.426.559.389.127.250.500,D02.455.426.559.389.127.281.595.202,D02.455.426.559.389.657.410.595.202"
"51"	"Diflunisal"	"DB00861"	""	NA	NA	NA	"D004061"	52	7	3	"D02.455.426.559.389.657.410.595.303"
"52"	"Gentisates"	""	""	NA	NA	NA	"D005841"	53	7	3	"D02.241.223.100.300.595.405,D02.241.511.390.595.405,D02.455.426.559.389.127.281.595.405,D02.455.426.559.389.657.410.595.405"
"53"	"Salicylic Acid"	"DB00936"	""	NA	NA	NA	"D020156"	54	7	3	"D02.241.223.100.300.595.608,D02.241.511.390.595.608,D02.455.426.559.389.127.281.595.608,D02.455.426.559.389.657.410.595.608"
"54"	"Sodium Salicylate"	""	"16760658"	NA	NA	NA	"D012980"	55	7	3	"D02.241.223.100.300.595.608.500,D02.241.511.390.595.608.500,D02.455.426.559.389.127.281.595.608.500,D02.455.426.559.389.657.410.595.608.500"
"55"	"Indophenol"	""	"10379"	NA	NA	NA	"D007215"	56	7	3	"D02.455.426.559.389.657.446"
"56"	"2,6-Dichloroindophenol"	""	"13726"	NA	NA	NA	"D015086"	57	7	3	"D02.455.426.559.389.657.446.250"
"57"	"Nitrophenols"	""	""	NA	NA	NA	"D009596"	58	7	3	"D02.455.426.559.389.657.566,D02.640.743"
"58"	"Dinitrophenols"	""	"167909"	NA	NA	NA	"D004140"	59	7	3	"D02.455.426.559.389.657.566.304,D02.640.743.304"
"59"	"2,4-Dinitrophenol"	"DB04528"	""	NA	NA	NA	"D019297"	60	7	3	"D02.455.426.559.389.657.566.304.500,D02.640.743.304.250"
"60"	"2-Hydroxy-5-nitrobenzyl Bromide"	""	"13044"	NA	NA	NA	"D015077"	61	7	3	"D02.455.426.559.389.140.400,D02.455.426.559.389.657.566.400,D02.640.743.400"
"61"	"Niclofolan"	""	"5284586"	NA	NA	NA	"D009533"	62	7	3	"D02.455.426.559.389.185.600,D02.455.426.559.389.657.566.600,D02.640.743.600"
"62"	"Nitrohydroxyiodophenylacetate"	""	"17553"	NA	NA	NA	"D009592"	63	7	3	"D02.455.426.559.389.657.566.610,D02.640.743.610,D23.050.550.480.641"
"63"	"Nitroxinil"	""	"15532"	NA	NA	NA	"D009611"	64	7	3	"D02.455.426.559.389.657.566.620,D02.640.743.620"
"64"	"Picrates"	"DB11163"	""	NA	NA	NA	"D010851"	65	7	3	"D02.455.426.559.389.657.566.690,D02.640.743.690"
"65"	"Phenolphthaleins"	"DB04824"	""	NA	NA	NA	"D010635"	67	7	3	"D02.455.426.559.389.657.625"
"66"	"Phenolsulfonphthalein"	""	"4766"	NA	NA	NA	"D010637"	69	7	3	"D02.455.426.559.389.657.625.560"
"67"	"Sulfobromophthalein"	""	"5345"	NA	NA	NA	"D013448"	70	7	3	"D02.455.426.559.389.657.625.617"
"68"	"Thymolphthalein"	""	"31316"	NA	NA	NA	"D013944"	71	7	3	"D02.455.426.559.389.657.625.808"
