"idequivalence_relationship"	"equivalence_term"	"term_descritor_idterm_descritor"
"1"	1	"A1BG"	1
"2"	2	"alpha-1-B glycoprotein"	1
"3"	3	"A1B"	1
"4"	4	"ABG"	1
"5"	5	"GAB"	1
"6"	6	"HYST2477"	1
"7"	7	"A1CF"	2
"8"	8	"APOBEC1 complementation factor"	2
"9"	11	"ACF64"	2
"10"	12	"ACF65"	2
"11"	13	"APOBEC1CF"	2
"12"	14	"A2M"	3
"13"	15	"alpha-2-macroglobulin"	3
"14"	16	"FWP007"	3
"15"	17	"S863-7"	3
"16"	18	"CPAMD5"	3
"17"	19	"A2MD"	3
"18"	20	"A2ML1"	4
"19"	21	"alpha-2-macroglobulin like 1"	4
"20"	22	"CPAMD9"	4
"21"	23	"FLJ25179"	4
"22"	24	"p170"	4
"23"	25	"A3GALT2"	5
"24"	26	"alpha 1,3-galactosyltransferase 2"	5
"25"	27	"A3GALT2P"	5
"26"	28	"IGBS3S"	5
"27"	29	"IGB3S"	5
"28"	30	"iGb3 synthase"	5
"29"	31	"isoglobotriaosylceramide synthase"	5
"30"	32	"A4GALT"	6
"31"	33	"alpha 1,4-galactosyltransferase (P blood group)"	6
"32"	34	"P1"	6
"33"	35	"A14GALT"	6
"34"	36	"Gb3S"	6
"35"	37	"P(k)"	6
"36"	38	"Gb3 synthase"	6
"37"	39	"CD77 synthase"	6
"38"	40	"globotriaosylceramide synthase"	6
"39"	41	"lactosylceramide 4-alpha-galactosyltransferase"	6
"40"	42	"A4GALT1"	6
"41"	43	"P1PK"	6
"42"	44	"PK"	6
"43"	45	"A4GNT"	7
"44"	46	"alpha-1,4-N-acetylglucosaminyltransferase"	7
"45"	47	"alpha4GnT"	7
"46"	48	"AAAS"	8
"47"	49	"aladin WD repeat nucleoporin"	8
"48"	50	"aladin"	8
"49"	51	"Allgrove, triple-A"	8
"50"	52	"adracalin"	8
"51"	54	"AAASb"	8
"52"	55	"ADRACALA"	8
"53"	56	"ADRACALIN"	8
"54"	57	"ALADIN"	8
"55"	58	"GL003"	8
"56"	59	"AACS"	9
"57"	60	"acetoacetyl-CoA synthetase"	9
"58"	61	"FLJ12389"	9
"59"	62	"SUR-5"	9
"60"	63	"ACSF1"	9
"61"	64	"acyl-CoA synthetase family member 1"	9
"62"	65	"AADAC"	10
"63"	66	"arylacetamide deacetylase"	10
"64"	68	"CES5A1"	10
"65"	69	"AADACL2"	11
"66"	70	"arylacetamide deacetylase like 2"	11
"67"	71	"MGC72001"	11
"68"	72	"AADACL3"	12
"69"	73	"arylacetamide deacetylase like 3"	12
"70"	74	"OTTHUMG00000001887"	12
"71"	75	"AADACL4"	13
"72"	76	"arylacetamide deacetylase like 4"	13
"73"	77	"OTTHUMG00000001889"	13
"74"	78	"AADAT"	14
"75"	79	"aminoadipate aminotransferase"	14
"76"	80	"KATII"	14
"77"	81	"KAT2"	14
"78"	82	"KYAT2"	14
"79"	83	"kynurenine aminotransferase II"	14
"80"	84	"L kynurenine/alpha aminoadipate aminotransferase"	14
"81"	85	"AAED1"	15
"82"	86	"AhpC/TSA antioxidant enzyme domain containing 1"	15
"83"	87	"C9orf21"	15
"84"	88	"AAGAB"	16
"85"	89	"alpha and gamma adaptin binding protein"	16
"86"	90	"FLJ11506"	16
"87"	91	"p34"	16
"88"	92	"KPPP1"	16
"89"	93	"PPKP1"	16
"90"	94	"PPKP1A"	16
"91"	95	"AAK1"	17
"92"	96	"AP2 associated kinase 1"	17
"93"	97	"KIAA1048"	17
"94"	98	"DKFZp686K16132"	17
"95"	99	"AAMDC"	18
"96"	100	"adipogenesis associated Mth938 domain containing"	18
"97"	101	"C11orf67"	18
"98"	102	"PTD015"	18
"99"	103	"FLJ21035"	18
"100"	104	"CK067"	18
"101"	105	"AAMP"	19
"102"	106	"angio associated migratory cell protein"	19
"103"	107	"AANAT"	20
"104"	108	"aralkylamine N-acetyltransferase"	20
"105"	109	"SNAT"	20
"106"	110	"serotonin N-acetyltransferase"	20
"107"	111	"DSPS"	20
"108"	112	"AAR2"	21
"109"	113	"AAR2 splicing factor homolog"	21
"110"	114	"C20orf4"	21
"111"	115	"bA234K24.2"	21
"112"	116	"CGI-23"	21
"113"	117	"AARD"	22
"114"	118	"alanine and arginine rich domain containing protein"	22
"115"	119	"C8orf85"	22
"116"	120	"LOC441376"	22
"117"	121	"Alanine and arginine-rich domain-containing protein"	22
"118"	122	"AARS"	23
"119"	123	"alanyl-tRNA synthetase"	23
"120"	124	"CMT2N"	23
"121"	125	"AlaRS"	23
"122"	126	"alanine tRNA ligase 1, cytoplasmic"	23
"123"	127	"EIEE29"	23
"124"	128	"AARS2"	24
"125"	129	"alanyl-tRNA synthetase 2, mitochondrial"	24
"126"	130	"AARSL"	24
"127"	131	"KIAA1270"	24
"128"	132	"bA444E17.1"	24
"129"	133	"alanine tRNA ligase 2, mitochondrial"	24
"130"	134	"COXPD8"	24
"131"	135	"LKENP"	24
"132"	136	"MT-ALARS"	24
"133"	137	"MTALARS"	24
"134"	138	"AARSD1"	25
"135"	139	"alanyl-tRNA synthetase domain containing 1"	25
"136"	140	"MGC2744"	25
"137"	141	"AASDH"	26
"138"	142	"aminoadipate-semialdehyde dehydrogenase"	26
"139"	143	"NRPS998"	26
"140"	144	"LYS2"	26
"141"	145	"ACSF4"	26
"142"	146	"acyl-CoA synthetase family member 4"	26
"143"	147	"NRPS1098"	26
"144"	148	"AASDHPPT"	27
"145"	149	"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	27
"146"	150	"LYS5"	27
"147"	151	"CGI-80"	27
"148"	152	"AASD-PPT"	27
"149"	153	"ACPS"	27
"150"	154	"holo ACP synthase"	27
"151"	155	"holo-[acyl-carrier-protein] synthase"	27
"152"	156	"LYS2"	27
"153"	157	"AASS"	28
"154"	158	"aminoadipate-semialdehyde synthase"	28
"155"	159	"LORSDH"	28
"156"	160	"LKRSDH"	28
"157"	161	"LKR/SDH"	28
"158"	162	"AATF"	29
"159"	163	"apoptosis antagonizing transcription factor"	29
"160"	164	"DED"	29
"161"	165	"CHE-1"	29
"162"	166	"CHE1"	29
"163"	167	"BFR2"	29
"164"	168	"AATK"	30
"165"	169	"apoptosis associated tyrosine kinase"	30
"166"	170	"AATYK"	30
"167"	171	"KIAA0641"	30
"168"	172	"LMTK1"	30
"169"	173	"LMR1"	30
"170"	174	"AATYK1"	30
"171"	175	"PPP1R77"	30
"172"	176	"lemur tyrosine kinase 1"	30
"173"	177	"protein phosphatase 1, regulatory subunit 77"	30
"174"	178	"p35BP"	30
"175"	179	"ABAT"	31
"176"	180	"4-aminobutyrate aminotransferase"	31
"177"	181	"GABAT"	31
"178"	182	"4-aminobutyrate transaminase"	31
"179"	183	"GABA-AT"	31
"180"	184	"NPD009"	31
"181"	185	"ABCA1"	32
"182"	186	"ATP binding cassette subfamily A member 1"	32
"183"	187	"ABC1"	32
"184"	188	"HDLDT1"	32
"185"	189	"TGD"	32
"186"	190	"Tangier disease"	32
"187"	191	"ABC-1"	32
"188"	192	"CERP"	32
"189"	193	"ABCA2"	33
"190"	194	"ATP binding cassette subfamily A member 2"	33
"191"	195	"ABC2"	33
"192"	196	"ABCA3"	34
"193"	197	"ATP binding cassette subfamily A member 3"	34
"194"	198	"ABC3"	34
"195"	199	"ABC-C"	34
"196"	200	"EST111653"	34
"197"	201	"LBM180"	34
"198"	202	"SMDP3"	34
"199"	203	"ABCA4"	35
