"idequivalence_relationship"	"equivalence_term"	"term_descritor_idterm_descritor"
"1"	3720	"Acquired Immunodeficiency Syndrome"	480
"2"	3721	"Immunologic Deficiency Syndrome, Acquired"	480
"3"	3722	"Acquired Immune Deficiency Syndrome"	480
"4"	3723	"Acquired Immuno-Deficiency Syndrome"	480
"5"	3724	"Acquired Immuno Deficiency Syndrome"	480
"6"	3725	"Acquired Immuno-Deficiency Syndromes"	480
"7"	3726	"Immuno-Deficiency Syndrome, Acquired"	480
"8"	3727	"Immuno-Deficiency Syndromes, Acquired"	480
"9"	3728	"Syndrome, Acquired Immuno-Deficiency"	480
"10"	3729	"Syndromes, Acquired Immuno-Deficiency"	480
"11"	3730	"Immunodeficiency Syndrome, Acquired"	480
"12"	3731	"Acquired Immunodeficiency Syndromes"	480
"13"	3732	"Immunodeficiency Syndromes, Acquired"	480
"14"	3733	"Syndrome, Acquired Immunodeficiency"	480
"15"	3734	"Syndromes, Acquired Immunodeficiency"	480
"16"	3746	"Sarcoma, Kaposi"	483
"17"	3747	"Kaposi's Sarcoma"	483
"18"	3748	"Multiple Idiopathic Pigmented Hemangiosarcoma"	483
"19"	3749	"Kaposis Sarcoma"	483
"20"	3750	"Sarcoma, Kaposi's"	483
"21"	3751	"Kaposi's Sarcoma of the Colon"	483
"22"	3752	"Colonic Kaposi's Sarcoma"	483
"23"	3753	"Colon kaposi sarcoma"	483
"24"	3754	"Lymphoma, AIDS Related"	481
"25"	3755	"Lymphoma, HIV-Related"	481
"26"	3756	"Lymphoma, HIV Related"	481
"27"	3757	"HIV-Related Lymphoma"	481
"28"	3758	"HIV Related Lymphoma"	481
"29"	3759	"HIV-Related Lymphomas"	481
"30"	3760	"Lymphomas, HIV-Related"	481
"31"	3761	"Lymphoma, AIDS-Associated"	481
"32"	3762	"AIDS-Associated Lymphomas"	481
"33"	3763	"Lymphoma, AIDS Associated"	481
"34"	3764	"Lymphomas, AIDS-Associated"	481
"35"	3765	"AIDS-Associated Lymphoma"	481
"36"	3766	"AIDS Associated Lymphoma"	481
"37"	3767	"AIDS Related Lymphoma"	481
"38"	3768	"AIDS-Related Lymphomas"	481
"39"	3769	"Lymphomas, AIDS-Related"	481
"40"	3770	"lymphoma, AIDS-related"	481
"41"	3771	"AIDS Lymphoma"	481
"42"	3772	"HIV Associated Lymphoma"	481
"43"	3773	"Lymphoma AIDS Related"	481
"44"	3774	"breast neoplasm"	484
"45"	3775	"Breast tumour"	484
"46"	3776	"Neoplasm of breast"	484
"47"	3777	"zr-75-1"	484
"48"	3778	"Breast Tumor"	484
"49"	3779	"Tumor of the Breast"	484
"50"	3780	"mammari carcinoma"	484
"51"	3781	"mammary tumor"	484
"52"	3782	"Tumor of breast"	484
"53"	3783	"Tumour of breast"	484
"54"	3784	"Neoplasm of the Breast"	484
"55"	3785	"Mammary Neoplasms"	484
"56"	3787	"MCF7"	484
"57"	3788	"breast adenocarcinoma"	484
"58"	3789	"Breast cancer"	484
"59"	3790	"MCF-7"	484
"60"	3791	"Malignant neoplasm of breast"	484
"61"	3792	"Malignant tumor of the breast"	484
"62"	3793	"Mammary cancer"	484
"63"	3794	"Primary breast cancer"	484
"64"	3795	"Breast Carcinoma"	484
